Fraction_Group	Fraction	Spectra_Filepath	Label	Sample
1	1	run1.mzML	1	1
2	1	run2.mzML	1	2
3	1	run3.mzML	1	3
4	1	run4.mzML	1	4
5	1	run5.mzML	1	5
6	1	run6.mzML	1	6

Sample	MSstats_Condition	MSstats_BioReplicate
1	1	1
2	1	2
3	1	3
4	2	4
5	2	5
6	2	6
